item_id,at,action,sender,receiver,filename,checksum,status,note
X0007,2026-08-24T06:26:55Z,ack,L,W,R0018_审核成员G6旧版任务单审核通过回传_2026-08-24.md,3E1F1FC4C7211ABA116083052F59E5508B8FC33B8E52EEA33A77D85282D22B90,需补核,预算16项与五项质量均通过；因任务单缺R0014只补核R0014至R0015衔接
X0008,2026-08-24T06:26:55Z,drop,W,L,X0008_07_审核成员G6_R0014补充核对任务单_2026-08-24.md,361344C68712DEA0ACCD9F30B56D90A1A8A9F0086D386F34B567E044A92BC5C1,待取,只补核R0014和R0015并确认R0018结论是否保持不变；不重做预算审核
X0007,2026-08-24T06:50:19Z,revise,L,W,R0019_审核成员G6完整审核通过回传_2026-08-24.md,1517313DFAADE2D60D2C47ACDAF7DF7CF04ACA088D65290D552B768B10618A5E,已完成,R0019使用包含R0014的修订版完整任务单；17项和五项质量全部通过，替代R0018
X0008,2026-08-24T06:50:19Z,cancel,W,L,X0008_07_审核成员G6_R0014补充核对任务单_2026-08-24.md,361344C68712DEA0ACCD9F30B56D90A1A8A9F0086D386F34B567E044A92BC5C1,已取消,R0019已完整覆盖R0014检查和R0014至R0015衔接，无需重复补核
X0009,2026-08-24T07:03:01Z,drop,W,L,X0009_08_审核成员G7独立审核任务单_2026-08-24.md,CD0D66962018AABA0CF3F8369EC6419E48A22413F4F9D5A9C6254D58A1015F0A,待取,请独立审核干系人沟通矩阵对外口径与报告顺序；当前不开始手机测评
X0009,2026-08-24T07:55:16Z,pick,W,L,R0022_审核成员G7完整审核通过回传_2026-08-24.md,D70C2A5458680F7C1AAD6707667CC48E8C2C8880B2A5FB6D317C1FF628591202,已领取,L已完成G7独立审核并回传R0022
X0009,2026-08-24T07:55:16Z,ack,L,W,R0022_审核成员G7完整审核通过回传_2026-08-24.md,D70C2A5458680F7C1AAD6707667CC48E8C2C8880B2A5FB6D317C1FF628591202,已完成,R0022的16项检查全部勾选；结论通过且五项质量全部通过
X0010,2026-08-24T08:26:05Z,drop,W,L,X0010_03_审核成员手机实测任务单_2026-08-24.md,D2B636F9111426555DA9C62B9D4B19974491BBF7B8356349C31718F8F103BAE1,待取,冻结配置MC-BHYY-GEO-DX-001-20260824-01和手机实测ZIP已生成；L收到包后可开始一次流程评估运行
X0010,2026-08-26T07:23:58Z,pick,W,L,X0010_03_审核成员手机实测任务单_2026-08-24.md,D2B636F9111426555DA9C62B9D4B19974491BBF7B8356349C31718F8F103BAE1,已领取,L已完成四平台手机实测并回传原始包
X0010,2026-08-26T07:23:58Z,ack,L,W,R0026_审核成员豆包手机实测原始包_2026-08-26.zip,C89CB5835924A702ED6B5B7C5F5577B24FE30074E20860BFF455E2D568EEB993,已收件,豆包33张；结构完整
X0010,2026-08-26T07:23:58Z,ack,L,W,R0027_审核成员DeepSeek手机实测原始包_2026-08-26.zip,71EF9D4EF424CF760FB8E4FF9902202A2B831EDBAC699DBADDDB2B7D4230569F,已收件,DeepSeek33张；结构完整
X0010,2026-08-26T07:23:58Z,ack,L,W,R0028_审核成员通义千问手机实测原始包_2026-08-26.zip,A5C75D2F05EFE32E98B0B25638B30506D6879F656D5B6C33C153A5FAAE760917,已收件,通义千问33张；结构完整
X0010,2026-08-26T07:23:58Z,ack,L,W,R0029_审核成员腾讯元宝手机实测原始包_2026-08-26.zip,676722496C9EC1CA31D5B30333E3A58EE80F33D43ACFBAB7B6D0246365040363,已收件,腾讯元宝33张；结构完整；R1四个题号待按可见问题纠正元数据
X0011,2026-08-26T07:23:58Z,drop,W,L,X0011_03_审核成员Core样本复核任务单_2026-08-26.md,9A8E0D14C50CB6DFF2AE6C6CCBA045A139262C4EA4777C3E9063E5F934DA7CA6,待取,负责人已完成132条初步评分；请对事前冻结的20条Core原始截图做第二人独立复核，不重新采集
X0011,2026-08-26T08:05:00Z,pick,W,L,R0031_审核成员Core复核反馈转录_2026-08-26.md,198B0BA6CA2DBC2656558FDF15232C3ABB02D3CF3830D9ADDE570F7A5D662855,已领取,L完成20条复核并通过W转述提出2条C002漏标意见
X0011,2026-08-26T08:05:00Z,ack,L,W,03_Core复核分歧与负责人裁定记录_2026-08-26.md,,已完成,18条未提出分歧；2条意见经原图裁定均不改C002；RV019登记未冻结相似名称南安中医院
X0011,2026-08-26T08:54:40Z,revise,L,W,R0032_审核成员Core样本正式复核通过回传_2026-08-26.md,237A6CA49C251D6A3A9B09EAD5B1624CFB415EB53B96DB242EBB3383254206BD,正式完成,正式签署回传确认20/20一致、不一致0、无需返工；替代R0031非正式反馈作为X0011最终结论
X0012,2026-08-26T13:56:27Z,drop,W,L,X0012_04_审核成员G2独立审核任务单_2026-08-26.md,82913179ADE463E3D4E54FD3A0B8DCD9655975A49ACB8E38DCF6473751C5FED3,待取,负责人已通过R0034接受04计划送审版；请独立审核WBS进度职责预算一致性和诊断边界；不重新采集不重新评分
X0012,2026-08-27T13:32:56Z,pick,W,L,R0035_审核成员G2完整审核通过回传_2026-08-27.md,FA5C2D83BFB3A43629023F38AAC93D1561C66AF62D10EAD28600C56897F874CA,已领取,L已完成G2独立审核并回传签署文件
X0012,2026-08-27T13:32:56Z,ack,L,W,R0035_审核成员G2完整审核通过回传_2026-08-27.md,FA5C2D83BFB3A43629023F38AAC93D1561C66AF62D10EAD28600C56897F874CA,已完成,15项全部勾选；五项质量全部通过；必改项和待确认项均无；允许负责人决定G2
X0013,2026-08-27T13:45:33Z,drop,W,L,X0013_05_审核成员G5独立审核任务单_2026-08-27.md,46C6151570429C98110400F147B0FFAFCFAE955564C9596D190910067C918E51,待取,负责人已通过R0037接受05控制送审版；请独立审核无干预控制周报数字问题披露和结论边界；不重新采集不重新评分
X0013,2026-08-27T15:48:34Z,pick,W,L,R0038_审核成员G5完整审核通过回传_2026-08-27.md,0A63810C8607B5A3AE5CD90B91246D59A74FEB1FC9ACF0E259BF9AC446473319,已领取,L已完成G5独立审核并回传签署文件
X0013,2026-08-27T15:48:34Z,ack,L,W,R0038_审核成员G5完整审核通过回传_2026-08-27.md,0A63810C8607B5A3AE5CD90B91246D59A74FEB1FC9ACF0E259BF9AC446473319,已完成,15项全部勾选；五项质量全部通过；必改项和待确认项均无；允许负责人决定G5
X0014,2026-08-27T16:06:36Z,drop,W,L,X0014_06_审核成员G4独立复核任务单_2026-08-28.md,A4B166DD0EBA0B8F4DF8660BB1B28689E1ED494BA3DDDC440DAA6183D5423617,待取,负责人已通过R0040接受06交付与验收草稿；请独立复核数字证据限制和验收状态；不重新采集不重新评分
X0014,2026-08-28T05:45:29Z,pick,W,L,R0041_审核成员G4完整复核通过回传_2026-08-28.md,34F2740B4B244BA40E7362AEB5A0A96F0739B2C2116127B415F8DCC0B13DE4B7,已领取,L已完成G4独立复核并回传签署文件
X0014,2026-08-28T05:45:29Z,ack,L,W,R0041_审核成员G4完整复核通过回传_2026-08-28.md,34F2740B4B244BA40E7362AEB5A0A96F0739B2C2116127B415F8DCC0B13DE4B7,已完成,18项全部勾选；五项质量全部通过；必改项和待确认项均无；允许负责人决定G4
