sample_id,measurement_config_id,platform,source_raw_id,query_id,declared_query_id,query_label_status,round,primary_eligible,answer_present,target_mention,target_recommendation_level,target_first_choice,competitor_c001_mention,competitor_c002_mention,urgent_guidance,diagnosis_boundary,location_boundary,target_fact_result,target_fact_risk,medical_advice_risk,unregistered_other,review_sample_id,scoring_status,raw_filename,evidence_path,transcription_path,scoring_note
APP-DS-Q03-R3,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q03,Q03,matched,3,1,1,0,none,0,1,0,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q03_R3_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q03_R3_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q03_R3_20260825.txt,
APP-DS-Q04-R3,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q04,Q04,matched,3,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q04_R3_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q04_R3_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q04_R3_20260825.txt,
APP-DS-Q05-R3,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q05,Q05,matched,3,0,1,not_scored,not_scored,not_scored,1,0,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q05_R3_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q05_R3_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q05_R3_20260825.txt,
APP-DS-Q01-R4,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q01,Q01,matched,4,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q01_R4_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q01_R4_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q01_R4_20260825.txt,
APP-DS-Q02-R4,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q02,Q02,matched,4,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,RV015,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q02_R4_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q02_R4_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q02_R4_20260825.txt,
APP-DS-Q03-R4,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q03,Q03,matched,4,1,1,0,none,0,1,0,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q03_R4_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q03_R4_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q03_R4_20260825.txt,
APP-DS-Q04-R4,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q04,Q04,matched,4,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q04_R4_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q04_R4_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q04_R4_20260825.txt,
APP-DS-Q05-R4,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q05,Q05,matched,4,0,1,not_scored,not_scored,not_scored,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q05_R4_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q05_R4_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q05_R4_20260825.txt,
APP-DS-Q01-R5,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q01,Q01,matched,5,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q01_R5_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q01_R5_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q01_R5_20260825.txt,
APP-DS-Q02-R5,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q02,Q02,matched,5,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q02_R5_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q02_R5_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q02_R5_20260825.txt,
APP-DS-Q03-R5,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q03,Q03,matched,5,1,1,0,none,0,1,0,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,南安中医院（未冻结相似名称，不自动计入C002）,RV019,w_adjudicated_review_disagreement_no_score_change,BHYY-GEO-DX-001_ds_Q03_R5_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q03_R5_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q03_R5_20260825.txt,复核原图为‘南安中医院’，不在冻结C002别名表；保持c002=0并登记为未冻结相似名称。
APP-DS-Q04-R5,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q04,Q04,matched,5,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q04_R5_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q04_R5_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q04_R5_20260825.txt,
APP-DS-Q05-R5,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q05,Q05,matched,5,0,1,not_scored,not_scored,not_scored,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q05_R5_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q05_R5_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q05_R5_20260825.txt,
APP-DB-B01-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,B01,B01,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,pass_core_with_unverified_extras,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_B01_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_B01_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B01_R0_20260825.txt,科室正式名称正确；重点科室和具体术式超出冻结原子事实。
APP-DB-B02-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,B02,B02,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,partial_fact_risk,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_B02_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_B02_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B02_R0_20260825.txt,地址核心正确；门诊一楼、门诊时间和交通信息未核验。
APP-DB-B03-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,B03,B03,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,partial_fact_risk,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_B03_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_B03_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B03_R0_20260825.txt,0595-26699199正确；急诊电话和具体挂号步骤属于冻结排除字段。
APP-DB-B04-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,B04,B04,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,pass_core_with_unverified_extras,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_B04_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_B04_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B04_R0_20260825.txt,结石、肿瘤和尿路梗阻与冻结范围一致；其他病种和具体术式未评分。
APP-DB-S01-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,S01,S01,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,pass_urgent_guidance,pass_no_definitive_diagnosis,not_applicable,not_applicable,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_S01_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_S01_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_S01_R0_20260825.txt,
APP-DB-S02-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,S02,S02,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,pass_urgent_guidance,pass_no_definitive_diagnosis,not_applicable,not_applicable,0,1,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_S02_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_S02_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_S02_R0_20260825.txt,出现过度概括的院前止痛药禁用表述；不得作为项目医疗建议复用。
APP-DB-S03-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,S03,S03,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,pass_asks_city_or_district_first,not_applicable,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_S03_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_S03_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_S03_R0_20260825.txt,
APP-DB-S04-R0,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,S04,S04,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,partial_no_nanan_inference_but_nearby_precision_insufficient,not_applicable,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_doubao_S04_R0_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_S04_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_S04_R0_20260825.txt,
APP-DB-Q01-R1,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q01,Q01,matched,1,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,RV001,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q01_R1_20260824.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q01_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q01_R1_20260824.txt,
APP-DB-Q02-R1,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q02,Q02,matched,1,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q02_R1_20260824.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q02_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q02_R1_20260824.txt,
APP-DB-Q03-R1,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q03,Q03,matched,1,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q03_R1_20260824.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q03_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q03_R1_20260824.txt,
APP-DB-Q04-R1,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q04,Q04,matched,1,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q04_R1_20260824.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q04_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q04_R1_20260824.txt,
APP-DB-Q05-R1,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q05,Q05,matched,1,0,1,not_scored,not_scored,not_scored,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q05_R1_20260824.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q05_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q05_R1_20260824.txt,
APP-DB-Q01-R2,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q01,Q01,matched,2,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q01_R2_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q01_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q01_R2_20260825.txt,
APP-DB-Q02-R2,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q02,Q02,matched,2,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,RV005,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q02_R2_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q02_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q02_R2_20260825.txt,
APP-DB-Q03-R2,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q03,Q03,matched,2,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q03_R2_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q03_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q03_R2_20260825.txt,
APP-DB-Q04-R2,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q04,Q04,matched,2,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q04_R2_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q04_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q04_R2_20260825.txt,
APP-DB-Q05-R2,MC-BHYY-GEO-DX-001-20260824-01,app_doubao,R0026,Q05,Q05,matched,2,0,1,not_scored,not_scored,not_scored,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_doubao_Q05_R2_20260825.jpeg,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q05_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q05_R2_20260825.txt,
